name,surname,phone,role,subject,unique_code,country,norg,norgs,web,physical_address,inn,activity,law_address,email,password,additional,file1,file2,categories
Учасник физ,Учасник физ лицо,+380677659038,Buyer,4,1234567890,,Учасник физ лицо,Учасник физ лицо,http://www.it.ua,Киев,1234567890,чето делаем,Киев юр.адресс,test_org_com4@it.ua,12345678,test description,,,A1-A2-A3-A4;A1;A1-A2;A1-A2-A3
Учасник физ лицо,Учасник физ лицо,+380677659038,Buyer,1,1234567890,,Учасник физ лицо,Учасник физ лицо,http://www.it.ua,Киев,1234567890,чето делаем,Киев юр.адресс,test_org_com4@it.ua,12345678,test description,,,A1-A2-A3-A4;A1;A1-A2;A1-A2-A3
Учасник юрлицо,Учасник юрлицо,+380677659038,Buyer,2,12345678,,Учасник юрлицо,Учасник юрлицо,http://www.it.ua,Киев,1234567890,чето делаем,Киев юр.адресс,test_org_com5@it.ua,12345678,test description,,,A1-A2-A3-A4;A1;A1-A2;A1-A2-A3
Учасник нерезидент,Учасник нерезидент,+380677659038,Buyer,3,12345678,US-DOS,Учасник нерезидент,Учасник нерезидент,http://www.it.ua,Киев,1234567890,чето делаем,Киев юр.адресс,test_org_com6@it.ua,12345678,test description,,,A1-A2-A3-A4;A1;A1-A2;A1-A2-A3
Коммерческий организатор,Коммерческий организатор,+380677659038,Org,2,12345678,UA-EDR,Организатор коммерческих закупок,Организатор коммерческих закупок,http://www.it.ua,Киев,1234567890,чето делаем,Киев юр.адресс,test_org_com1@it.ua,,test description,,,
Гос организатор,Гос организатор,+380677659038,OrgGov,2,12345678,,Организатор коммерческих закупок,Организатор коммерческих закупок,http://www.it.ua,Киев,1234567890,чето делаем,Киев юр.адресс,test_org_com2@it.ua,,test description,,,
ФГВ организатор,ФГВ организатор,+380677659038,OrgFgv,2,12345678,,Организатор коммерческих закупок,Организатор коммерческих закупок,http://www.it.ua,Киев,1234567890,чето делаем,Киев юр.адресс,test_org_com3@it.ua,,test description,,,
Учасник физ лицо,Учасник физ лицо,+380677659038,Part,1,1234567890,,Учасник физ лицо,Учасник физ лицо,http://www.it.ua,Киев,1234567890,чето делаем,Киев юр.адресс,test_org_com4@it.ua,12345678,test description,,,S1;S1-S2;S1-S2-S3;S1-S2-S3-S4;S1-S2-S3-S4-S5;S1-S2-S3-S4-S6
Учасник юрлицо,Учасник юрлицо,+380677659038,Part,2,12345678,,Учасник юрлицо,Учасник юрлицо,http://www.it.ua,Киев,1234567890,чето делаем,Киев юр.адресс,test_org_com5@it.ua,12345678,test description,,,S1;S1-S2;S1-S2-S3;S1-S2-S3-S4;S1-S2-S3-S4-S5;S1-S2-S3-S4-S6
Учасник нерезидент,Учасник нерезидент,+380677659038,Part,3,12345678,US-DOS,Учасник нерезидент,Учасник нерезидент,http://www.it.ua,Киев,1234567890,чето делаем,Киев юр.адресс,test_org_com6@it.ua,12345678,test description,,,S1;S1-S2;S1-S2-S3;S1-S2-S3-S4;S1-S2-S3-S4-S5;S1-S2-S3-S4-S6
